"team_id","pos_team","division","conference","season","player_id","passer_player_name","plays","games","team_games","playsgame","TEPA","EPAplay","EPAgame","yards","yardsplay","yardsgame","success","comp","att","comppct","passing_td","sacked","sack_yds","pass_int","detmer","detmergame","dropbacks","sack_adj_yards","yardsdropback","TEPA_rank","EPAgame_rank","EPAplay_rank","success_rank","comppct_rank","yards_rank","yardsplay_rank","yardsgame_rank","sack_adj_yards_rank","yardsdropback_rank","detmer_rank","detmergame_rank","fbs_class"
"248","Houston","fbs","American Athletic",2022,4360175,"Clayton Tune",442,12,12,36.8333333333333,194.114489730628,0.439173053689203,16.1762074775523,3671,8.30542986425339,305.916666666667,0.518099547511312,304,442,0.687782805429864,33,0,0,0,0.742297794117647,0.560847222222222,442,3671,8.30542986425339,4,4,9,16,13,4,23,6,4,23,5,3,"G5"
"248","Houston","fbs","American Athletic",2022,4366031,"Nathaniel Dell",2,2,12,1,5.72265953672223,2.86132976836111,2.86132976836111,16,8,8,1,2,2,1,2,0,0,0,0.0133333333333333,0.01,2,16,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G5"
"248","Houston","fbs","American Athletic",2022,4680017,"Lucas Coley",3,2,12,1.5,-1.55396737284696,-0.51798912428232,-0.77698368642348,8,2.66666666666667,4,0,3,3,1,0,0,0,0,0,0,3,8,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G5"
"248","Houston","fbs","American Athletic",2022,4683227,"Joseph Manjack",1,1,12,1,2.56166187884704,2.56166187884704,2.56166187884704,20,20,20,1,1,1,1,1,0,0,0,0.025,0.025,1,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G5"
