"team_id","pos_team","division","conference","season","player_id","rusher_player_name","plays","games","team_games","playsgame","TEPA","EPAplay","EPAgame","yards","yardsplay","yardsgame","success","rushing_td","fumbles","TEPA_rank","EPAgame_rank","EPAplay_rank","success_rank","yards_rank","yardsplay_rank","yardsgame_rank","fbs_class"
"201","Oklahoma","fbs","Big 12",2020,4241380,"Jeremiah Hall",1,1,8,1,-0.483993993669211,-0.483993993669211,-0.483993993669211,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"201","Oklahoma","fbs","Big 12",2020,4241397,"Charleston Rambo",2,2,8,1,1.0818465750466,0.540923287523301,0.540923287523301,22,11,11,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"201","Oklahoma","fbs","Big 12",2020,4360271,"Tanner Mordecai",7,3,8,2.33333333333333,-5.17510119936663,-0.73930017133809,-1.72503373312221,2,0.285714285714286,0.666666666666667,0,0,1,NA,NA,NA,NA,NA,NA,NA,"P5"
"201","Oklahoma","fbs","Big 12",2020,4360275,"T.J. Pledger",93,8,8,11.625,-10.1731346289099,-0.10938854439688,-1.27164182861373,450,4.83870967741935,56.25,0.387096774193548,5,1,219,202,207,179,108.5,155,143.5,"P5"
"201","Oklahoma","fbs","Big 12",2020,4426339,"Spencer Rattler",43,8,8,5.375,-5.76816410123383,-0.134143351191484,-0.721020512654228,183,4.25581395348837,22.875,0.372093023255814,3,2,NA,NA,NA,NA,NA,NA,NA,"P5"
"201","Oklahoma","fbs","Big 12",2020,4426484,"Marcus Major",13,2,8,6.5,-0.306279716611359,-0.0235599782008737,-0.153139858305679,46,3.53846153846154,23,0.384615384615385,2,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"201","Oklahoma","fbs","Big 12",2020,4426535,"Theo Wease",1,1,8,1,-1.48658869267039,-1.48658869267039,-1.48658869267039,-10,-10,-10,0,0,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"201","Oklahoma","fbs","Big 12",2020,4569173,"Rhamondre Stevenson",64,4,8,16,8.48639672069262,0.132599948760822,2.12159918017316,378,5.90625,94.5,0.484375,6,0,93,51,78,63,138,72,34,"P5"
"201","Oklahoma","fbs","Big 12",2020,4686468,"Seth McGowan",48,5,8,9.6,-3.55800230553594,-0.0741250480319988,-0.711600461107189,229,4.77083333333333,45.8,0.5,2,1,NA,NA,NA,NA,NA,NA,NA,"P5"
"201","Oklahoma","fbs","Big 12",2020,4686469,"Mikey Henderson",8,3,8,2.66666666666667,4.89123116786923,0.611403895983654,1.63041038928974,62,7.75,20.6666666666667,0.875,2,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"201","Oklahoma","fbs","Big 12",2020,4686472,"Marvin Mims",1,1,8,1,1.73952272669755,1.73952272669755,1.73952272669755,17,17,17,1,0,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"201","Oklahoma","fbs","Big 12",2020,4692530,"Chandler Morris",2,2,8,1,2.49091486991813,1.24545743495906,1.24545743495906,17,8.5,8.5,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,"P5"
