"team_id","pos_team","division","conference","season","player_id","receiver_player_name","plays","games","team_games","playsgame","TEPA","EPAplay","EPAgame","yards","yardsplay","yardsgame","success","comp","targets","catchpct","passing_td","fumbles","TEPA_rank","EPAgame_rank","EPAplay_rank","success_rank","catchpct_rank","yards_rank","yardsplay_rank","yardsgame_rank","fbs_class"
"103","Boston College","fbs","ACC",2024,4428050,"Kamari Morales",24,8,11,3,19.3708676762149,0.807119486508954,2.42135845952686,253,10.5416666666667,31.625,0.708333333333333,24,24,1,4,0,362,316,247,204,54,408,268,354.5,"P4"
"103","Boston College","fbs","ACC",2024,4428692,"Dino Tomlin",2,2,11,1,-0.0751542242570686,-0.0375771121285343,-0.0375771121285343,30,15,15,0,2,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2024,4428783,"Treshaun Ward",16,7,11,2.28571428571429,30.598607910163,1.91241299438519,4.37122970145186,249,15.5625,35.5714285714286,0.8125,15,16,0.9375,3,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2024,4565184,"Jerand Bradley",4,2,11,2,8.71228964298378,2.17807241074595,4.35614482149189,52,13,26,1,4,4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2024,4683159,"Lewis Bond",58,11,11,5.27272727272727,36.2717192355458,0.625374469578376,3.29742902141325,504,8.68965517241379,45.8181818181818,0.586206896551724,55,58,0.948275862068966,2,1,188,220,341,386.5,168,166.5,393,196.5,"P4"
"103","Boston College","fbs","ACC",2024,4708354,"Jeremiah Franklin",21,10,11,2.1,33.8327960279727,1.61108552514156,3.38327960279727,250,11.9047619047619,25,0.952380952380952,21,21,1,3,0,206,210,16,4,54,411.5,163,427,"P4"
"103","Boston College","fbs","ACC",2024,4773919,"Thomas Castellanos",3,2,11,1.5,16.307206545551,5.43573551518368,8.15360327277552,133,44.3333333333333,66.5,1,3,3,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2024,4837385,"Jordan Mcdonald",4,2,11,2,-0.147128996900754,-0.0367822492251884,-0.0735644984503768,24,6,12,0.5,4,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2024,4871001,"Jaedn Skeete",18,5,11,3.6,21.7661738808195,1.20923188226775,4.3532347761639,189,10.5,37.8,0.777777777777778,18,18,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2024,4871708,"Luke McLaughlin",1,1,11,1,-1.04112685420731,-1.04112685420731,-1.04112685420731,5,5,5,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2024,4880638,"Kye Robichaux",5,5,11,1,0.418499295553128,0.0836998591106256,0.0836998591106256,22,4.4,4.4,0.4,5,5,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2024,4883774,"Jayden McGowan",3,1,11,3,-0.965788675080736,-0.321929558360245,-0.965788675080736,0,0,0,0.333333333333333,2,3,0.666666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2024,5031157,"Reed Harris",14,6,11,2.33333333333333,32.1776563815865,2.29840402725618,5.36294273026441,322,23,53.6666666666667,0.857142857142857,13,14,0.928571428571429,2,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2024,5222689,"John Montague",4,4,11,1,-1.83175373289194,-0.457938433222984,-0.457938433222984,18,4.5,4.5,0.25,4,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
