"team_id","pos_team","division","conference","season","player_id","receiver_player_name","plays","games","team_games","playsgame","TEPA","EPAplay","EPAgame","yards","yardsplay","yardsgame","success","comp","targets","catchpct","passing_td","fumbles","TEPA_rank","EPAgame_rank","EPAplay_rank","success_rank","catchpct_rank","yards_rank","yardsplay_rank","yardsgame_rank","fbs_class"
"242","Rice","fbs","Conference USA",2020,4039154,"Jordan Myers",27,4,5,6.75,17.0432247228613,0.631230545291159,4.26080618071532,209,7.74074074074074,52.25,0.703703703703704,24,27,0.888888888888889,1,0,217,87,166,21.5,19,352.5,345,180,"G5"
"242","Rice","fbs","Conference USA",2020,4244856,"Austin Trammell",19,3,5,6.33333333333333,34.8334719204077,1.83334062738988,11.6111573068026,335,17.6315789473684,111.666666666667,0.789473684210526,16,19,0.842105263157895,6,0,58,2,3,2,46,188,7,13,"G5"
"242","Rice","fbs","Conference USA",2020,4362536,"Robert French",6,2,5,3,-1.8511313351334,-0.308521889188901,-0.925565667566702,23,3.83333333333333,11.5,0.333333333333333,4,6,0.666666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"G5"
"242","Rice","fbs","Conference USA",2020,4362538,"Juma Otoviano",3,1,5,3,-1.30581116056476,-0.43527038685492,-1.30581116056476,8,2.66666666666667,8,0.333333333333333,1,3,0.333333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"G5"
"242","Rice","fbs","Conference USA",2020,4362541,"Ari Broussard",1,1,5,1,1.37862307887234,1.37862307887234,1.37862307887234,32,32,32,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"G5"
"242","Rice","fbs","Conference USA",2020,4362555,"August Pitre III",3,1,5,3,1.02833725456084,0.342779084853613,1.02833725456084,3,1,3,0.333333333333333,1,3,0.333333333333333,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"G5"
"242","Rice","fbs","Conference USA",2020,4432381,"Andrew Mason",11,4,5,2.75,2.88556669298822,0.262324244817111,0.721391673247054,74,6.72727272727273,18.5,0.363636363636364,6,11,0.545454545454545,0,0,488,466,409,568.5,566.5,585,448,556,"G5"
"242","Rice","fbs","Conference USA",2020,4433828,"Khalan Griffin",5,3,5,1.66666666666667,-2.5333625868956,-0.50667251737912,-0.844454195631866,45,9,15,0.2,3,5,0.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"G5"
"242","Rice","fbs","Conference USA",2020,4570190,"Jake Bailey",38,5,5,7.6,3.67007279760879,0.0965808630949682,0.734014559521759,275,7.23684210526316,55,0.5,23,38,0.605263157894737,2,1,472,463,501,353.5,494,252.5,400,158,"G5"
"242","Rice","fbs","Conference USA",2020,4570200,"Jack Bradley",3,2,5,1.5,4.1390779083384,1.3796926361128,2.0695389541692,44,14.6666666666667,22,0.666666666666667,2,3,0.666666666666667,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"G5"
