"team_id","pos_team","division","conference","season","player_id","passer_player_name","plays","games","team_games","playsgame","TEPA","EPAplay","EPAgame","yards","yardsplay","yardsgame","success","comp","att","comppct","passing_td","sacked","sack_yds","pass_int","detmer","detmergame","dropbacks","sack_adj_yards","yardsdropback","TEPA_rank","EPAgame_rank","EPAplay_rank","success_rank","comppct_rank","yards_rank","yardsplay_rank","yardsgame_rank","sack_adj_yards_rank","yardsdropback_rank","detmer_rank","detmergame_rank","fbs_class"
"8","Arkansas","fbs","SEC",2021,4242178,"De'Vion Warren",2,2,10,1,-1.31351983097514,-0.656759915487571,-0.656759915487571,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P5"
"8","Arkansas","fbs","SEC",2021,4363030,"Warren Thompson",2,2,10,1,9.066611951553,4.5333059757765,4.5333059757765,36,18,18,1,2,2,1,1,0,0,0,0.0225,0.015,2,36,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P5"
"8","Arkansas","fbs","SEC",2021,4371991,"Reid Bauer",1,1,10,1,6.64004921026978,6.64004921026978,6.64004921026978,32,32,32,1,1,1,1,1,0,0,0,0.04,0.04,1,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P5"
"8","Arkansas","fbs","SEC",2021,4372000,"John Stephen Jones",1,1,10,1,-0.525899052150431,-0.525899052150431,-0.525899052150431,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P5"
"8","Arkansas","fbs","SEC",2021,4429133,"Malik Hornsby",7,3,10,2.33333333333333,-4.41932534137668,-0.631332191625239,-1.47310844712556,27,3.85714285714286,9,0.285714285714286,4,7,0.571428571428571,0,0,0,0,0,0,7,27,3.85714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P5"
"8","Arkansas","fbs","SEC",2021,4567149,"KJ Jefferson",232,10,10,23.2,95.5688190391785,0.411934564824045,9.55688190391785,2232,9.62068965517241,223.2,0.46551724137931,159,232,0.685344827586207,13,0,0,0,0.518142857142857,0.315391304347826,232,2232,9.62068965517241,46,45,22,57.5,19,54,6,63,54,6,61,61,"P5"
"8","Arkansas","fbs","SEC",2021,4567151,"Trey Knox",1,1,10,1,2.26007557475901,2.26007557475901,2.26007557475901,3,3,3,1,1,1,1,1,0,0,0,0.00375,0.00375,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P5"
"8","Arkansas","fbs","SEC",2021,4567156,"Treylon Burks",3,3,10,1,0.943955731712884,0.314651910570961,0.314651910570961,20,6.66666666666667,6.66666666666667,0.333333333333333,1,3,0.333333333333333,1,0,0,0,0.00833333333333333,0.00416666666666667,3,20,6.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P5"
