"team_id","pos_team","division","conference","season","player_id","passer_player_name","plays","games","team_games","playsgame","TEPA","EPAplay","EPAgame","yards","yardsplay","yardsgame","success","comp","att","comppct","passing_td","sacked","sack_yds","pass_int","detmer","detmergame","dropbacks","sack_adj_yards","yardsdropback","TEPA_rank","EPAgame_rank","EPAplay_rank","success_rank","comppct_rank","yards_rank","yardsplay_rank","yardsgame_rank","sack_adj_yards_rank","yardsdropback_rank","detmer_rank","detmergame_rank","fbs_class"
"328","Utah State","fbs","Mountain West",2025,4594319,"Brady Boyd",1,1,12,1,2.22787166238965,2.22787166238965,2.22787166238965,24,24,24,1,1,1,1,1,0,0,0,0.03,0.03,1,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G6"
"328","Utah State","fbs","Mountain West",2025,4612824,"Broc Lane",1,1,12,1,5.13168077780324,5.13168077780324,5.13168077780324,52,52,52,1,1,1,1,1,0,0,0,0.065,0.065,1,52,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G6"
"328","Utah State","fbs","Mountain West",2025,4695600,"Bryson Barnes",323,12,12,26.9166666666667,42.2900905747281,0.130929072986774,3.52417421456068,2248,6.95975232198142,187.333333333333,0.430340557275542,185,323,0.572755417956656,9,0,0,0,0.4215,0.200714285714286,323,2248,6.95975232198142,85,95,95,82,114,54,74,71,54,74,71,75,"G6"
"328","Utah State","fbs","Mountain West",2025,4696561,"Jacob Conover",35,4,12,8.75,15.5701033481026,0.444860095660075,3.89252583702565,252,7.2,63,0.4,21,35,0.6,2,0,0,0,0.105,0.0525,35,252,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G6"
"328","Utah State","fbs","Mountain West",2025,4816099,"Javen Jacobs",1,1,12,1,4.77782868461874,4.77782868461874,4.77782868461874,26,26,26,1,1,1,1,1,0,0,0,0.0325,0.0325,1,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G6"
"328","Utah State","fbs","Mountain West",2025,4869422,"Braden Pegan",2,1,12,2,8.96122432039796,4.48061216019898,8.96122432039796,92,46,92,1,2,2,1,2,0,0,0,0.153333333333333,0.153333333333333,2,92,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G6"
"328","Utah State","fbs","Mountain West",2025,5151339,"Anthony Garcia",6,6,12,1,10.6545164980341,1.77575274967235,1.77575274967235,68,11.3333333333333,11.3333333333333,0.666666666666667,5,6,0.833333333333333,3,0,0,0,0.02125,0.00944444444444444,6,68,11.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G6"
