"team_id","pos_team","division","conference","season","player_id","rusher_player_name","plays","games","team_games","playsgame","TEPA","EPAplay","EPAgame","yards","yardsplay","yardsgame","success","rushing_td","fumbles","TEPA_rank","EPAgame_rank","EPAplay_rank","success_rank","yards_rank","yardsplay_rank","yardsgame_rank","fbs_class"
"154","Wake Forest","fbs","ACC",2020,4240418,"Christian Beal-Smith",101,7,7,14.4285714285714,-18.5128810069724,-0.183295851554182,-2.64469728671034,520,5.14851485148515,74.2857142857143,0.326732673267327,1,1,242,238,227,231,77,130,85,"P5"
"154","Wake Forest","fbs","ACC",2020,4256910,"Will Drawdy",1,1,7,1,-0.739517443756222,-0.739517443756222,-0.739517443756222,3,3,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"154","Wake Forest","fbs","ACC",2020,4361994,"Sam Hartman",32,7,7,4.57142857142857,-1.91557075860452,-0.0598615862063913,-0.273652965514932,132,4.125,18.8571428571429,0.3125,1,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"154","Wake Forest","fbs","ACC",2020,4429618,"Justice Ellison",18,3,7,6,0.218955999964066,0.0121642222202259,0.0729853333213552,65,3.61111111111111,21.6666666666667,0.333333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"154","Wake Forest","fbs","ACC",2020,4432374,"Ahmani Marshall",4,1,7,4,-0.615916864838653,-0.153979216209663,-0.615916864838653,8,2,8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"154","Wake Forest","fbs","ACC",2020,4433829,"Mitch Griffis",1,1,7,1,-1.98944681589802,-1.98944681589802,-1.98944681589802,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"154","Wake Forest","fbs","ACC",2020,4567031,"Michael Kern",2,2,7,1,-1.0873972707218,-0.543698635360902,-0.543698635360902,2,1,1,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"154","Wake Forest","fbs","ACC",2020,4567044,"Taylor Morin",2,1,7,2,-0.115464183920325,-0.0577320919601623,-0.115464183920325,5,2.5,5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"154","Wake Forest","fbs","ACC",2020,4567048,"Kenneth Walker III",108,6,7,18,10.3453153726919,0.0957899571545544,1.72421922878198,474,4.38888888888889,79,0.407407407407407,12,0,81,71,101,158,93,197,66,"P5"
