"pctile","GEI","EPAplay","pass_success","rush_success","early_down_success","early_down_EPA","late_down_success","success","yardsplay","dropbacks","rushes","EPAdropback","EPArush","yardsdropback","pass_explosive","rush_explosive","explosive","third_down_success","red_zone_success","play_stuffed","nonExplosiveEpaPerPlay","havoc","yardsrush","lineyards","opportunity_run","third_down_distance"
0.01,1.16054276560428,-0.514536544454509,0.0325698924731183,0.0497898276586801,0.217391304347826,-0.506034192963929,0.125,0.236363636363636,2.98006028368794,7.29,14,-0.868249650188702,-0.65509644932135,-0.331517857142857,0,0,0.0154543269230769,0.085530303030303,0,0.133855855855856,-0.778632559309501,0.0431818181818182,1.83867172675522,0.0962764705882354,0.0353942084125978,3.61933333333333
0.02,1.37024871954609,-0.457308188678004,0.0581176470588235,0.0668630175048625,0.232667757774141,-0.443167732243344,0.153846153846154,0.252042253521127,3.13280503144654,12.58,16,-0.732551855173841,-0.583336053149762,1.8906,0,0,0.0254353054353054,0.129833333333333,0,0.161565464895636,-0.705515702036442,0.0523444976076555,2.20660869565217,0.247963636363636,0.0643424317617866,4
0.03,1.44314555852546,-0.419456929679362,0.0723291925465838,0.0757575757575758,0.245174004192872,-0.412379491740227,0.166666666666667,0.264705882352941,3.33801715265866,14,17,-0.702927674226445,-0.531670366722457,2.24916959064327,0,0,0.0285714285714286,0.153846153846154,0,0.17137969924812,-0.677945863975228,0.0562363067292645,2.39597426470588,0.389155870445344,0.0757575757575758,4.21242857142857
0.04,1.59347860622042,-0.394888040567449,0.0848989589712186,0.0847002012072435,0.261967213114754,-0.385405808534705,0.1895,0.274007954043305,3.5382586487114,16,19,-0.655250433130965,-0.49421001995578,2.48173913043478,0,0,0.0318279569892473,0.166666666666667,0,0.180898138006572,-0.644650802611942,0.0627564102564103,2.4752380952381,0.523224242424242,0.0897435897435897,4.46715151515151
0.05,1.66704249936098,-0.381996794910974,0.0945945945945946,0.0909090909090909,0.272727272727273,-0.370272719958182,0.204736842105263,0.279992260061919,3.74628378378378,18,20,-0.592566545066544,-0.458113079476763,2.66034482758621,0,0,0.0347549909255898,0.181818181818182,0.111111111111111,0.189066226380481,-0.623313207819445,0.0689655172413793,2.61461538461539,0.606125,0.0952380952380952,4.74083333333333
0.06,1.73140950971266,-0.348533479806148,0.1,0.0950044923629829,0.276404988994864,-0.361411299668547,0.214285714285714,0.283731343283582,3.84047132757266,19,21,-0.55548906717722,-0.43704503252505,2.90238709677419,0.0120109007458405,0,0.0382728592162554,0.1875,0.125,0.199315789473684,-0.601346004856265,0.0714285714285714,2.71539682539683,0.685,0.102941176470588,4.92714285714286
0.07,1.76883033559063,-0.331377227182967,0.102941176470588,0.0985915492957746,0.282608695652174,-0.34606063146427,0.222222222222222,0.295081967213115,3.91052936311001,20,22,-0.516245478894462,-0.416761560914692,3.08819116757411,0.0129921394395079,0,0.0405743243243243,0.2,0.142857142857143,0.205955882352941,-0.585026662967995,0.0735294117647059,2.82318181818182,0.740178378378378,0.111158059467919,5
0.08,1.90731151670508,-0.311278700341137,0.106163765312701,0.101694915254237,0.286489104116223,-0.322061024099626,0.230769230769231,0.303203463203463,3.97155734406439,21,22,-0.495826923505994,-0.399119661685371,3.24413793103448,0.0136986301369863,0,0.0441176470588235,0.214285714285714,0.153846153846154,0.210763528539659,-0.570846291072382,0.075818948983506,2.91783783783784,0.782514285714286,0.119402985074627,5.07692307692308
0.09,2.02382079167654,-0.294230805500277,0.111111111111111,0.104356343283582,0.293558106169297,-0.309904692141889,0.25,0.30945526097763,4.09140685461581,21,23,-0.475670586404955,-0.373472120698809,3.40869391025641,0.0140845070422535,0.0101702508960573,0.0454545454545455,0.214285714285714,0.166666666666667,0.21446582278481,-0.563978379856691,0.0789473684210526,3,0.828123552123552,0.123287671232877,5.17973262032086
0.1,2.14214948067109,-0.286049173712065,0.115321563682219,0.108951048951049,0.3,-0.292372392596523,0.25,0.315043125317098,4.165625,21,23,-0.449053682289264,-0.342712840592566,3.48648648648649,0.0144927536231884,0.011890756302521,0.0468028846153846,0.230769230769231,0.181818181818182,0.219512195121951,-0.552817915022773,0.0805806451612903,3.07142857142857,0.867416666666667,0.127243867243867,5.265
0.11,2.20825566489048,-0.273099833737506,0.119402985074627,0.112676056338028,0.304685004436557,-0.275608649166096,0.266666666666667,0.321543583535109,4.21677897075157,22,24,-0.423868753547115,-0.330101122615104,3.60259090909091,0.0151515151515152,0.0120481927710843,0.0476190476190476,0.231628959276018,0.2,0.223721523959152,-0.544105394063865,0.0833333333333333,3.1095,0.900225,0.134801173402868,5.3365
