arch,n_requests,n_errors,p50_ttfb_ms,p95_ttfb_ms,p99_ttfb_ms,error_rate
A,854,0,37.260000000000005,441.7649999999999,783.2883,0.0
B,838,0,96.91499999999999,268.99799999999993,389.46829999999983,0.0
D,702,0,215.355,435.3674999999999,565.9881000000001,0.0
