type,region,viewer_index,cycle,target_label,target_url,game_id,request_start_ms,request_started_at,request_started_at_offset_ms,status,ttfb_ms,total_ms,body_bytes,body_hash_short,cf_cache_status,cf_ray,age,cache_control,server,server_timing,x_worker_cache,x_arch,x_replay_play_index,x_upstream_cache,content_encoding
request,us-west-2,15,1,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778435925&replay_duration=850&arch=baseline,401520434,1778435959952,2026-05-10 17:59:19.952000+00:00,34544,200,30.5,33.97,504639,5e24b0a436d3,HIT,9f9ad64dbb5dd106-PDX,0,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=3, cfCacheStatus;desc=""HIT"", cfEdge;dur=10,cfOrigin;dur=0,cfWorker;dur=2",HIT,baseline,,,br
request,us-west-2,9,1,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778435925&replay_duration=850&arch=baseline,401520434,1778435962456,2026-05-10 17:59:22.456000+00:00,37048,200,21.8,25.52,504639,5e24b0a436d3,HIT,9f9ad65d5c67d106-PDX,2,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=2, cfCacheStatus;desc=""HIT"", cfEdge;dur=4,cfOrigin;dur=0,cfWorker;dur=2",HIT,baseline,,,br
request,us-west-2,1,1,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778435925&replay_duration=850&arch=tiered,401403910,1778435963057,2026-05-10 17:59:23.057000+00:00,37649,200,116.82,132.71,571981,7b94d0e4f34e,,9f9ad6611a96d106-PDX,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=82, percentiles;dur=3, render;dur=0, total;dur=85, cfEdge;dur=5,cfOrigin;dur=0,cfWorker;dur=95",,tiered,,HIT,br
request,us-west-2,11,1,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778435963674,2026-05-10 17:59:23.674000+00:00,38266,200,390.0,391.09,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,us-west-2,12,1,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778435925&replay_duration=850&arch=baseline,401520434,1778435964596,2026-05-10 17:59:24.596000+00:00,39188,200,20.02,23.01,504639,5e24b0a436d3,HIT,9f9ad66ab981d106-PDX,4,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=2, cfCacheStatus;desc=""HIT"", cfEdge;dur=4,cfOrigin;dur=0,cfWorker;dur=2",HIT,baseline,,,br
request,us-west-2,8,1,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778435969533,2026-05-10 17:59:29.533000+00:00,44125,200,378.94,380.52,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,us-west-2,2,1,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778435969965,2026-05-10 17:59:29.965000+00:00,44557,200,209.96,210.73,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,us-west-2,5,1,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778435969816,2026-05-10 17:59:29.816000+00:00,44408,200,484.69,485.49,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,us-west-2,13,1,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778435925&replay_duration=850&arch=tiered,401403910,1778435971501,2026-05-10 17:59:31.501000+00:00,46093,200,86.19,108.89,571981,7b94d0e4f34e,,9f9ad695fc538b90-PDX,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=5, percentiles;dur=15, render;dur=0, total;dur=20, cfEdge;dur=9,cfOrigin;dur=0,cfWorker;dur=45",,tiered,,HIT,br
request,us-west-2,6,1,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778435925&replay_duration=850&arch=baseline,401520434,1778435972262,2026-05-10 17:59:32.262000+00:00,46854,200,23.03,28.71,504639,5e24b0a436d3,HIT,9f9ad69aab3e8b90-PDX,12,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=3, cfCacheStatus;desc=""HIT"", cfEdge;dur=4,cfOrigin;dur=0,cfWorker;dur=3",HIT,baseline,,,br
request,us-west-2,14,1,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778435972464,2026-05-10 17:59:32.464000+00:00,47056,200,210.48,211.24,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,us-west-2,16,1,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778435925&replay_duration=850&arch=tiered,401403910,1778435978012,2026-05-10 17:59:38.012000+00:00,52604,200,73.79,97.3,571981,7b94d0e4f34e,,9f9ad6beae02fef5-PDX,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=6, percentiles;dur=2, render;dur=0, total;dur=8, cfEdge;dur=12,cfOrigin;dur=0,cfWorker;dur=30",,tiered,,HIT,br
