"team_id","pos_team","division","conference","season","player_id","rusher_player_name","plays","games","team_games","playsgame","TEPA","EPAplay","EPAgame","yards","yardsplay","yardsgame","success","rushing_td","fumbles","TEPA_rank","EPAgame_rank","EPAplay_rank","success_rank","yards_rank","yardsplay_rank","yardsgame_rank","fbs_class"
"2","Auburn","fbs","SEC",2021,4035851,"Demetris Robertson",3,3,11,1,-0.642483606342818,-0.214161202114273,-0.214161202114273,11,3.66666666666667,3.66666666666667,0.333333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"2","Auburn","fbs","SEC",2021,4371977,"Shaun Shivers",14,6,11,2.33333333333333,9.5847666348405,0.684626188202893,1.59746110580675,91,6.5,15.1666666666667,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"2","Auburn","fbs","SEC",2021,4429013,"Tank Bigsby",195,11,11,17.7272727272727,12.9576381637213,0.0664494264806221,1.17796710579285,928,4.75897435897436,84.3636363636364,0.441025641025641,12,3,83,91,109,92,42,150,56,"P5"
"2","Auburn","fbs","SEC",2021,4431948,"TJ Finley",9,4,11,2.25,0.473052094924273,0.0525613438804748,0.118263023731068,38,4.22222222222222,9.5,0.666666666666667,1,1,NA,NA,NA,NA,NA,NA,NA,"P5"
"2","Auburn","fbs","SEC",2021,4432797,"Sean Jackson",2,1,11,2,2.24280316730447,1.12140158365223,2.24280316730447,22,11,22,1,0,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"2","Auburn","fbs","SEC",2021,4567217,"Ja'Varrius Johnson",1,1,11,1,4.78890697722983,4.78890697722983,4.78890697722983,57,57,57,1,1,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"2","Auburn","fbs","SEC",2021,4567218,"Bo Nix",44,9,11,4.88888888888889,12.94721273997,0.294254834999319,1.43857919333,270,6.13636363636364,30,0.568181818181818,4,2,NA,NA,NA,NA,NA,NA,NA,"P5"
"2","Auburn","fbs","SEC",2021,4695580,"Malcolm Johnson Jr.",1,1,11,1,-0.720194126735857,-0.720194126735857,-0.720194126735857,5,5,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,"P5"
"2","Auburn","fbs","SEC",2021,4710341,"Jarquez Hunter",76,11,11,6.90909090909091,4.57050655138305,0.0601382440971454,0.415500595580277,429,5.64473684210526,39,0.394736842105263,2,0,121,123,112,148.5,180,72,199,"P5"
