"pctile","GEI","EPAplay","pass_success","rush_success","early_down_success","early_down_EPA","late_down_success","success","yardsplay","dropbacks","rushes","EPAdropback","EPArush","yardsdropback","pass_explosive","rush_explosive","explosive","third_down_success","red_zone_success","play_stuffed","nonExplosiveEpaPerPlay","havoc","yardsrush","lineyards","opportunity_run","third_down_distance"
0.01,1.15183412328862,-0.539449085523517,0.0291239316239316,0.0593529411764706,0.204186046511628,-0.534676885292697,0.117647058823529,0.212568306010929,2.08601190476191,7.45,14.45,-0.973826970021445,-0.595317642041398,1.20985185185185,0,0,0.0162480169222634,0.0909090909090909,0,0.141904859126174,-0.774034922395523,0.0473109243697479,1.82241379310345,0.19796052631579,0.0671751412429379,4.11125
0.02,1.2485572083486,-0.489901873929798,0.0481353987378084,0.0701023391812865,0.229107142857143,-0.483649123177391,0.142857142857143,0.234014423076923,2.40296434494196,10,17,-0.797250773635625,-0.535105209406831,1.58358620689655,0,0,0.0195701357466063,0.133333333333333,0,0.166363636363636,-0.720228202178399,0.054930001505344,2.14190476190476,0.386157407407407,0.0894205443371378,4.30692307692308
0.03,1.37452778834192,-0.447831601083648,0.0576923076923077,0.0779931006493506,0.241616616616617,-0.442907733441536,0.1875,0.25,2.76606060606061,13,18.35,-0.744183806633404,-0.489793478406423,2.19583333333333,0,0,0.027156608663458,0.153846153846154,0,0.177651347768449,-0.703138265154005,0.0616049382716049,2.35541176470588,0.520568181818182,0.0990845070422535,4.51590909090909
0.04,1.52709215390232,-0.403291860741819,0.0666666666666667,0.0833333333333333,0.25,-0.40275114266982,0.2,0.25964405964406,3.04127358490566,14.8,19,-0.689252614138439,-0.446704973501725,2.52024844720497,0,0,0.0297629499561018,0.166666666666667,0,0.189189189189189,-0.673306709297298,0.0666666666666667,2.5,0.604609523809524,0.103896103896104,4.73333333333333
0.05,1.57696426337053,-0.381430397561411,0.0772235576923077,0.0894001831501832,0.261904761904762,-0.380748792236695,0.214285714285714,0.269570135746606,3.25457317073171,16,20,-0.640534478793036,-0.42659831734918,2.67878151260504,0,0,0.0317460317460317,0.181818181818182,0,0.19702304737516,-0.649047312271543,0.0714285714285714,2.66529235382309,0.665913043478261,0.111111111111111,4.91258741258741
0.06,1.67349302681682,-0.368436850446343,0.0821917808219178,0.095045045045045,0.269230769230769,-0.356490850920542,0.222222222222222,0.277777777777778,3.38665832290363,17,21,-0.598360929681632,-0.403025895815758,2.83729977116705,0.0123456790123457,0,0.0333333333333333,0.2,0,0.203057065217391,-0.623467931500486,0.0754183627317956,2.76329411764706,0.727781818181818,0.117647058823529,5
0.07,1.74429444522245,-0.356023618222288,0.0862068965517241,0.0980874316939891,0.277777777777778,-0.335690694962541,0.235294117647059,0.2879662004662,3.47327702702703,18,22,-0.566055476259736,-0.383457783192538,3.00416666666667,0.0130126452494874,0,0.0361774370208105,0.2,0.1,0.210526315789474,-0.613791073582506,0.0789473684210526,2.83333333333333,0.768928571428571,0.121273546273546,5.125
0.08,1.82526392966504,-0.336416907508242,0.0923076923076923,0.102179962894249,0.284636118598383,-0.323716557714093,0.25,0.296296296296296,3.58398220244716,19,22,-0.535767298848022,-0.369360754846076,3.20512820512821,0.0135135135135135,0,0.0384615384615385,0.219047619047619,0.125,0.213904761904762,-0.597101721974289,0.0806451612903226,2.90414746543779,0.846666666666667,0.125949367088608,5.2
0.09,1.90719473177907,-0.323851310099875,0.0961848635235732,0.10530303030303,0.288888888888889,-0.310697211974102,0.25,0.301602276130578,3.68499865699705,20,22,-0.50229723027987,-0.352410943947873,3.33368794326241,0.0137081430745814,0,0.0405405405405405,0.230769230769231,0.142857142857143,0.217391304347826,-0.583358684058434,0.0833333333333333,2.95503246753247,0.869445812807882,0.130434782608696,5.30769230769231
0.1,1.97413515286719,-0.306674292016135,0.101694915254237,0.111111111111111,0.29249530956848,-0.298482851806363,0.25462962962963,0.305084745762712,3.73186882488964,20.5,23,-0.472188879490356,-0.335626116677064,3.45454545454545,0.0142857142857143,0,0.0422535211267606,0.235294117647059,0.153846153846154,0.221500721500721,-0.568372926411296,0.0857142857142857,3.0281746031746,0.901315789473684,0.13521234050657,5.35294117647059
0.11,2.03717774354516,-0.281646636969398,0.105223880597015,0.112883064516129,0.297297297297297,-0.283434660659818,0.266666666666667,0.310763228016749,3.77405529953917,21,23,-0.45624463072279,-0.323397502879321,3.58568443051202,0.0147058823529412,0.0116279069767442,0.0440856777493606,0.25,0.166666666666667,0.22498595505618,-0.559316780776012,0.0875,3.07884615384615,0.930730769230769,0.138461538461538,5.40863636363636
0.12,2.13228982502341,-0.270045207718762,0.111111111111111,0.115942028985507,0.30188679245283,-0.273211104471368,0.272727272727273,0.314689970869746,3.8265988372093,21,24,-0.434791262722519,-0.313675827236844,3.69573643410853,0.0151515151515152,0.0126582278481013,0.0447761194029851,0.25,0.172121212121212,0.229303278688525,-0.545349766153889,0.0890476190476191,3.16857142857143,0.970810810810811,0.142857142857143,5.5
0.13,2.25459185546283,-0.264742223762536,0.114285714285714,0.119402985074627,0.306122448979592,-0.258930422870162,0.277777777777778,0.318181818181818,3.91365288505225,22,24,-0.415015253162717,-0.298967681780145,3.79860465116279,0.015625,0.012987012987013,0.0461273209549072,0.266140350877193,0.1875,0.232876712328767,-0.536778170691363,0.0909090909090909,3.22149758454106,1.00736772486772,0.146208425720621,5.56145833333333
0.14,2.27711655113903,-0.257610962364566,0.119582089552239,0.122100547536088,0.310344827586207,-0.24710809012027,0.285714285714286,0.323529411764706,3.99166666666667,22,24,-0.398660687399551,-0.285738320951196,3.92016632016632,0.0161290322580645,0.0131578947368421,0.0483870967741935,0.266666666666667,0.2,0.236001872659176,-0.52480953266521,0.09375,3.31303571428571,1.03963157894737,0.149597701149425,5.60333333333333
0.15,2.32628310740572,-0.247623751784208,0.123076923076923,0.126077586206897,0.314814814814815,-0.23552334004606,0.290178571428572,0.328358208955224,4.07443181818182,23,25,-0.38480776047793,-0.274934184240714,4,0.0163934426229508,0.0135135135135135,0.0498456790123457,0.272727272727273,0.2,0.23943661971831,-0.5141772186169,0.0952380952380952,3.38054187192118,1.0606981981982,0.152542372881356,5.64285714285714
0.16,2.35747469842923,-0.233368500672672,0.126760563380282,0.129032258064516,0.318181818181818,-0.225868008340231,0.3,0.33040293040293,4.1205223880597,23,25,-0.365903494172235,-0.263539472967332,4.09159519725557,0.0170075978959673,0.0136986301369863,0.0508474576271186,0.277777777777778,0.2,0.243312543312543,-0.504574708840162,0.0967741935483871,3.43621794871795,1.078,0.155844155844156,5.69384615384615
0.17,2.47259957672423,-0.224242151909285,0.128571428571429,0.132352941176471,0.320754716981132,-0.216214521375942,0.307692307692308,0.333333333333333,4.17679507337526,24,25.65,-0.35141990917096,-0.25398492435311,4.16666666666667,0.0175438596491228,0.0138888888888889,0.0518696820420958,0.285714285714286,0.222222222222222,0.246065573770492,-0.495788604057989,0.0983606557377049,3.47791501976285,1.10540044493882,0.158730158730159,5.75
0.18,2.52766033624385,-0.213988332974426,0.131578947368421,0.134328358208955,0.325631951466127,-0.209175337508565,0.307692307692308,0.338257918552036,4.25,24,26,-0.336638862262478,-0.247918076441722,4.24224137931034,0.0188679245283019,0.0142857142857143,0.0526315789473684,0.285714285714286,0.25,0.25,-0.485588016398861,0.1,3.53580139372822,1.12272727272727,0.161764705882353,5.8
