"pctile","GEI","EPAplay","pass_success","rush_success","early_down_success","early_down_EPA","late_down_success","success","yardsplay","dropbacks","rushes","EPAdropback","EPArush","yardsdropback","pass_explosive","rush_explosive","explosive","third_down_success","red_zone_success","play_stuffed","nonExplosiveEpaPerPlay","havoc","yardsrush","lineyards","opportunity_run","third_down_distance"
0.01,1.48694384244212,-0.450733032050554,0.0442032484635645,0.0676878933728249,0.204621212121212,-0.508894589509246,0.118602941176471,0.240873015873016,2.73855263157895,10,16,-0.779322325909394,-0.536354141155531,1.59224089635854,0,0,0.0140845070422535,0.0920909090909091,0,0.134365671641791,-0.750202225977866,0.0274467275494673,1.78571428571429,0.456515151515152,0.0816326530612245,3.91007575757576
0.02,1.64738077006739,-0.407575830458202,0.063579871664978,0.0771828171828172,0.237663157894737,-0.431935398403523,0.160175438596491,0.258620689655172,3.0732321315623,13,17,-0.656749528600309,-0.465062090162455,2.02857142857143,0,0,0.0172413793103448,0.129642857142857,0,0.148805970149254,-0.668149832796936,0.031879160266257,2.23859047619048,0.600962962962963,0.0933333333333333,4.25411764705882
0.03,1.91126806709037,-0.372607406400992,0.0755223880597015,0.082735294117647,0.25,-0.404190520318737,0.1875,0.27725641025641,3.32805194805195,15,18,-0.595469235143648,-0.43455604688148,2.36753103448276,0,0,0.0248780487804878,0.153846153846154,0,0.158220551378446,-0.643232324107334,0.039678947368421,2.52478696741855,0.711395454545455,0.0993296703296703,4.5
0.04,2.18231733848628,-0.345665953156861,0.0862068965517241,0.0924558404558405,0.261407867494824,-0.373465082291871,0.214285714285714,0.285714285714286,3.50082603254068,17,19,-0.56733860783928,-0.412162926808625,2.61540740740741,0,0,0.029640035118525,0.166666666666667,0,0.167710843373494,-0.609101494714208,0.0416666666666667,2.65971014492754,0.818791788856305,0.105263157894737,4.608
0.05,2.36416403213282,-0.319791133612124,0.0945053544110148,0.0985915492957746,0.271062853107345,-0.346768834123632,0.230769230769231,0.295324143070045,3.62717647058824,17,20,-0.543615150718133,-0.387813567869049,2.88196428571429,0,0,0.0315724206349206,0.2,0,0.176109391124871,-0.590149197394071,0.0454545454545455,2.7760101010101,0.884406693711968,0.111111111111111,4.7375
0.06,2.45890233371222,-0.29893247120406,0.1,0.102941176470588,0.277777777777778,-0.325529972731393,0.235294117647059,0.301333553391649,3.7655,18,20,-0.513506749654056,-0.362645390070878,3.06422222222222,0.012987012987013,0,0.0333333333333333,0.2,0,0.182682926829268,-0.569403188172617,0.0483870967741935,2.86935483870968,0.931611162790698,0.117647058823529,4.85714285714286
0.07,2.52340208646271,-0.28737390136866,0.106353965183752,0.106612121212121,0.285714285714286,-0.306584271178105,0.25,0.307692307692308,3.90252777777778,19,21,-0.481473500994509,-0.34111443197127,3.22168168168168,0.0136819696408737,0,0.0357142857142857,0.214285714285714,0.111111111111111,0.189189189189189,-0.555277028204919,0.0519278996865204,2.99795454545455,0.979905263157895,0.122774794128178,5
0.08,2.64009943742841,-0.271799403053382,0.111111111111111,0.111111111111111,0.292682926829268,-0.293219788181302,0.250526315789474,0.313747899159664,3.96229210342418,20,21,-0.459365479046482,-0.320450013058472,3.36610323312535,0.0140845070422535,0,0.0377454024361118,0.222222222222222,0.125,0.194029850746269,-0.544934092424648,0.0555555555555556,3.06275862068966,1.04285714285714,0.125,5
0.09,2.70512943715442,-0.259383837167189,0.113280445969125,0.114861286254729,0.3,-0.279310274705326,0.266666666666667,0.319199172576832,4.01290316358025,20,22,-0.442882537616363,-0.2982245620744,3.48265288544358,0.0144927536231884,0,0.0394736842105263,0.230769230769231,0.142857142857143,0.196969696969697,-0.527627263059511,0.0588235294117647,3.12139487179487,1.06914074074074,0.131147540983607,5.09245454545454
0.1,2.85313586329728,-0.243674419379696,0.119402985074627,0.117879256965944,0.304347826086957,-0.259164889634579,0.272727272727273,0.323529411764706,4.0942265795207,21,22,-0.42457977338308,-0.284862459665901,3.58419540229885,0.0149253731343284,0,0.0405405405405405,0.235294117647059,0.153846153846154,0.202582962709545,-0.511193919759404,0.0625,3.2073275862069,1.1,0.135970819304153,5.18181818181818
